주소,동,위도,경도
대구광역시 달서구성당동 81-83,성당동 81-83,35.84934444,128.568175
"대구광역시 달서구두류1,2동 146-1","두류1,2동 146-1",35.85633611,128.5596333
대구광역시 달서구두류동 613-13,두류동 613-13,35.85454722,128.5532667
대구광역시 달서구본리동 412-2,본리동 412-2,35.83932222,128.5352694
대구광역시 달서구감삼동 128-18,감삼동 128-18,35.85176389,128.5437667
대구광역시 달서구두류동 840-31,두류동 840-31,35.8599,128.5686667
대구광역시 달서구성당동 85-11,성당동 85-11,35.85101944,128.5692333
대구광역시 달서구두류동 1181-5,두류동 1181-5,35.85596389,128.5708333
대구광역시 달서구용산동 529-1,용산동 529-1,35.86193333,128.5238444
대구광역시 달서구용산동 958-19,용산동 958-19,35.86128611,128.5264472
대구광역시 달서구장기동 811-7,장기동 811-7,35.84735,128.5290472
대구광역시 달서구신당동 354-8,신당동 354-8,35.84605556,128.4970944
대구광역시 달서구이곡동 1351-11,이곡동 1351-11,35.8595,128.5134361
대구광역시 달서구송현동 121-3,송현동 121-3,35.83493333,128.5526667
대구광역시 달서구월성1동 산10-16,월성1동 산10-16,35.82605833,128.5373472
대구광역시 달서구송현동1984-26,송현동1984-26,35.82803889,128.5549
대구광역시 달서구본리동 1201-4,본리동 1201-4,35.84037778,128.5297806
대구광역시 달서구감삼동 131-7,감삼동 131-7,35.84981944,128.5442222
대구광역시 달서구본동 790,본동 790,35.83603056,128.5394694
대구광역시 달서구본리동 88-4,본리동 88-4,35.84047778,128.5412139
대구광역시 달서구죽전동 261-2,죽전동 261-2,35.85260833,128.5349139
대구광역시 달서구송현동 240-19,송현동 240-19,35.83125833,128.5575222
대구광역시 달서구송현동 594-6,송현동 594-6,35.83088056,128.5437694
대구광역시 달서구송현2동 528-1,송현2동 528-1,35.83254167,128.5453917
대구광역시 달서구상인3동 1562,상인3동 1562,35.81093056,128.5515139
대구광역시 달서구진천동 626-1,진천동 626-1,35.81280278,128.5215472
대구광역시 달서구대천동 355-4,대천동 355-4,35.81951111,128.5179278
